# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 4
# Detector.I1_amp_gain: 4
# Detector.I2_amp_gain: 5
# Detector.IF_amp_gain: 6
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.35282595377504
# Facility.cycle: 2022-2
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: Ni foil 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -22.8200122375
# ISS.sample_y_position: -48.396793724
# Scan.edge_energy: 8333.0
# Scan.start_time: 06/17/2022  09:37:49
# Scan.end_time: 06/17/2022  09:38:24
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8319.800000 -4.520174e-05 -3.551592e-05 -6.111526e-06 -3.958604e-07 3.523411e-05 -3.236223e-05 1.063816e-05 2.019868e-05
 8320.000000 -4.520091e-05 -3.551895e-05 -6.109838e-06 -3.958115e-07 2.947790e-05 -3.019292e-05 3.689327e-06 1.453572e-05
 8320.200000 -4.516725e-05 -3.549599e-05 -6.103767e-06 -3.954497e-07 3.108758e-05 -2.408562e-05 9.630475e-06 1.687186e-05
 8320.400000 -4.503111e-05 -3.540303e-05 -6.086058e-06 -3.943676e-07 3.666102e-05 -2.749811e-05 9.884187e-06 2.000822e-05
 8320.600000 -4.492921e-05 -3.533266e-05 -6.073732e-06 -3.936288e-07 2.990634e-05 -3.458843e-05 -5.176929e-07 5.518696e-06
 8320.800000 -4.479439e-05 -3.522327e-05 -6.055123e-06 -3.926155e-07 2.401734e-05 -3.051826e-05 3.758538e-06 1.573630e-06
 8321.000000 -4.467256e-05 -3.513048e-05 -6.037822e-06 -3.914039e-07 1.822984e-05 -4.309328e-05 9.134829e-06 1.172703e-05
 8321.200000 -4.474582e-05 -3.518510e-05 -6.045764e-06 -3.921458e-07 2.445622e-05 -4.746521e-05 1.090139e-05 1.237279e-05
 8321.400000 -4.456676e-05 -3.505594e-05 -6.021723e-06 -3.906640e-07 2.725465e-05 -3.896286e-05 3.132167e-06 8.330063e-06
 8321.600000 -4.458877e-05 -3.507262e-05 -6.024922e-06 -3.909006e-07 3.134841e-05 -4.069302e-05 2.448252e-05 2.157268e-05
 8321.800000 -4.445216e-05 -3.496785e-05 -6.007249e-06 -3.896042e-07 2.893988e-05 -3.869145e-05 1.848032e-05 1.878693e-05
 8322.000000 -4.450793e-05 -3.500358e-05 -6.012688e-06 -3.901776e-07 3.040967e-05 -4.836517e-05 -4.180955e-06 2.246233e-06
 8322.200000 -4.459422e-05 -3.507096e-05 -6.021575e-06 -3.909333e-07 2.816299e-05 -4.595301e-05 -4.450169e-06 9.756467e-06
 8322.400000 -4.458552e-05 -3.507292e-05 -6.018124e-06 -3.907095e-07 1.856331e-05 -3.654315e-05 4.889529e-06 1.836231e-05
 8322.600000 -4.480038e-05 -3.524041e-05 -6.044530e-06 -3.929153e-07 1.480822e-05 -3.801011e-05 1.214224e-06 1.508627e-05
 8322.800000 -4.479778e-05 -3.524653e-05 -6.044089e-06 -3.929155e-07 1.474787e-05 -3.434629e-05 -8.207647e-06 1.212146e-05
 8323.000000 -4.472804e-05 -3.520120e-05 -6.034420e-06 -3.922446e-07 1.511480e-05 -3.011607e-05 -1.259666e-05 5.594794e-06
 8323.200000 -4.478274e-05 -3.524125e-05 -6.039349e-06 -3.926700e-07 1.180733e-05 -2.735393e-05 -8.354368e-06 3.889997e-06
 8323.400000 -4.481058e-05 -3.525747e-05 -6.039612e-06 -3.929852e-07 7.836735e-06 -3.648352e-05 -2.719714e-06 5.959656e-06
 8323.600000 -4.494405e-05 -3.536318e-05 -6.055625e-06 -3.943065e-07 1.408293e-05 -4.643681e-05 -3.855267e-06 7.232604e-07
 8323.800000 -4.507342e-05 -3.546112e-05 -6.071064e-06 -3.955974e-07 1.798539e-05 -4.855469e-05 -9.968351e-06 -2.810633e-06
 8324.000000 -4.502738e-05 -3.543154e-05 -6.064748e-06 -3.949527e-07 1.764816e-05 -4.737936e-05 6.696419e-07 7.498467e-06
 8324.200000 -4.497509e-05 -3.539050e-05 -6.054901e-06 -3.945755e-07 1.372037e-05 -4.395636e-05 -4.973749e-06 4.465359e-06
 8324.400000 -4.505036e-05 -3.545217e-05 -6.060954e-06 -3.951337e-07 2.215988e-05 -3.475072e-05 3.611501e-06 1.070592e-06
 8324.600000 -4.513169e-05 -3.551368e-05 -6.068558e-06 -3.959273e-07 1.812618e-05 -3.549955e-05 -3.873325e-06 -6.515859e-07
 8324.800000 -4.512155e-05 -3.550603e-05 -6.065798e-06 -3.960041e-07 1.575895e-05 -3.378360e-05 7.660576e-06 1.729916e-05
 8325.000000 -4.513313e-05 -3.551533e-05 -6.066013e-06 -3.961958e-07 1.708075e-05 -3.474016e-05 2.846383e-07 1.868101e-05
 8325.200000 -4.507871e-05 -3.547851e-05 -6.055657e-06 -3.959098e-07 2.143718e-05 -3.762692e-05 6.470051e-06 1.466166e-05
 8325.400000 -4.511192e-05 -3.550358e-05 -6.056331e-06 -3.960675e-07 3.047233e-05 -3.912422e-05 3.114622e-06 1.253225e-05
 8325.600000 -4.499170e-05 -3.541561e-05 -6.037923e-06 -3.949097e-07 2.851402e-05 -3.955486e-05 2.803044e-06 1.030463e-05
 8325.800000 -4.505434e-05 -3.546177e-05 -6.042616e-06 -3.955130e-07 2.301802e-05 -3.425180e-05 8.606469e-06 1.578114e-05
 8326.000000 -4.505624e-05 -3.546351e-05 -6.039848e-06 -3.955455e-07 2.618838e-05 -3.306871e-05 -3.072816e-06 2.253614e-05
 8326.200000 -4.507212e-05 -3.547644e-05 -6.038098e-06 -3.958630e-07 2.851138e-05 -3.275675e-05 4.337640e-08 2.937302e-05
 8326.400000 -4.505432e-05 -3.546774e-05 -6.032262e-06 -3.957736e-07 2.118639e-05 -3.777907e-05 3.668575e-07 1.490244e-05
 8326.600000 -4.504424e-05 -3.546447e-05 -6.026478e-06 -3.956829e-07 1.172566e-05 -3.518372e-05 9.952397e-07 1.323036e-05
 8326.800000 -4.505564e-05 -3.547870e-05 -6.024134e-06 -3.959384e-07 1.588799e-05 -3.713032e-05 3.937102e-06 7.946305e-06
 8327.000000 -4.503506e-05 -3.546652e-05 -6.016938e-06 -3.958082e-07 3.189180e-05 -3.526877e-05 4.754982e-07 2.767134e-06
 8327.200000 -4.499265e-05 -3.543303e-05 -6.006280e-06 -3.954839e-07 3.903219e-05 -3.073105e-05 3.988625e-06 8.314510e-06
 8327.400000 -4.492915e-05 -3.539266e-05 -5.992989e-06 -3.948761e-07 4.493180e-05 -4.340919e-05 -3.813874e-07 1.219423e-05
 8327.600000 -4.496466e-05 -3.541310e-05 -5.990511e-06 -3.949515e-07 4.332074e-05 -5.233782e-05 -7.726176e-07 1.188299e-05
 8327.800000 -4.504495e-05 -3.547835e-05 -5.995433e-06 -3.957694e-07 3.775278e-05 -4.716843e-05 -1.721900e-06 1.629889e-05
 8328.000000 -4.504259e-05 -3.547793e-05 -5.988753e-06 -3.956862e-07 3.189290e-05 -4.540725e-05 7.611211e-06 2.586723e-05
 8328.200000 -4.498690e-05 -3.544300e-05 -5.974005e-06 -3.951765e-07 3.173641e-05 -4.705152e-05 -1.591097e-06 1.958662e-05
 8328.400000 -4.478193e-05 -3.529091e-05 -5.939718e-06 -3.935416e-07 3.000520e-05 -5.683116e-05 4.207644e-06 1.949429e-05
 8328.600000 -4.467208e-05 -3.520555e-05 -5.916419e-06 -3.926780e-07 3.204972e-05 -5.327245e-05 3.610504e-06 1.647754e-05
 8328.800000 -4.488577e-05 -3.537140e-05 -5.934922e-06 -3.946663e-07 3.047444e-05 -5.113430e-05 2.223078e-05 3.413029e-05
 8329.000000 -4.506713e-05 -3.550941e-05 -5.948273e-06 -3.963266e-07 2.547444e-05 -4.553226e-05 2.203275e-05 2.636694e-05
 8329.200000 -4.506683e-05 -3.551203e-05 -5.936235e-06 -3.963072e-07 1.893848e-05 -4.525786e-05 1.840716e-05 2.484694e-05
 8329.400000 -4.516577e-05 -3.558591e-05 -5.934430e-06 -3.974147e-07 1.963243e-05 -4.834071e-05 6.671456e-06 2.075892e-05
 8329.600000 -4.510072e-05 -3.554602e-05 -5.910999e-06 -3.967634e-07 1.327614e-05 -5.303271e-05 -2.774972e-06 9.302219e-06
 8329.800000 -4.505279e-05 -3.551012e-05 -5.889329e-06 -3.963953e-07 1.202627e-05 -4.559585e-05 1.237146e-06 8.625051e-06
 8330.000000 -4.505273e-05 -3.551160e-05 -5.871809e-06 -3.962494e-07 7.363508e-06 -4.361225e-05 1.273788e-05 1.749580e-05
 8330.200000 -4.505712e-05 -3.552002e-05 -5.850770e-06 -3.963708e-07 2.345930e-06 -4.071776e-05 6.946263e-06 1.465490e-05
 8330.400000 -4.503478e-05 -3.550467e-05 -5.822076e-06 -3.964142e-07 1.011980e-05 -4.206390e-05 7.273907e-06 2.632092e-05
 8330.600000 -4.499734e-05 -3.547970e-05 -5.786482e-06 -3.959481e-07 5.346977e-06 -3.485817e-05 1.366898e-05 2.785143e-05
 8330.800000 -4.491848e-05 -3.542576e-05 -5.740924e-06 -3.952385e-07 6.601069e-06 -4.198755e-05 1.487866e-05 2.225513e-05
 8331.000000 -4.497188e-05 -3.546461e-05 -5.704029e-06 -3.957993e-07 1.808988e-05 -3.753522e-05 1.905192e-05 2.666381e-05
 8331.200000 -4.508113e-05 -3.554735e-05 -5.663083e-06 -3.965546e-07 1.496943e-05 -2.688935e-05 -9.081827e-06 2.154694e-05
 8331.400000 -4.513336e-05 -3.558721e-05 -5.601463e-06 -3.973689e-07 1.367733e-05 -3.385316e-05 -1.094711e-05 2.551901e-05
 8331.600000 -4.513635e-05 -3.558652e-05 -5.519475e-06 -3.974554e-07 1.075181e-05 -3.523768e-05 -1.093771e-05 2.493411e-05
 8331.800000 -4.511164e-05 -3.556788e-05 -5.419616e-06 -3.972891e-07 5.797227e-06 -4.252443e-05 5.005368e-07 2.071821e-05
 8332.000000 -4.513137e-05 -3.558732e-05 -5.311852e-06 -3.973617e-07 1.244739e-05 -4.744227e-05 4.315235e-06 1.238224e-05
 8332.200000 -4.510590e-05 -3.556915e-05 -5.185444e-06 -3.971211e-07 1.920459e-06 -4.074519e-05 1.015928e-05 1.290796e-05
 8332.400000 -4.502775e-05 -3.551381e-05 -5.041098e-06 -3.964972e-07 6.825317e-06 -4.297626e-05 1.609996e-05 1.923061e-05
 8332.600000 -4.504862e-05 -3.553088e-05 -4.899760e-06 -3.968474e-07 6.493881e-07 -5.117723e-05 1.595422e-05 1.561403e-05
 8332.800000 -4.515020e-05 -3.561195e-05 -4.765396e-06 -3.977073e-07 6.016774e-06 -4.801605e-05 1.027706e-05 1.648024e-05
 8333.000000 -4.512909e-05 -3.559670e-05 -4.620754e-06 -3.975924e-07 2.001400e-06 -4.976028e-05 2.155622e-05 2.238839e-05
 8333.200000 -4.509212e-05 -3.557001e-05 -4.480812e-06 -3.974978e-07 9.115545e-06 -4.712865e-05 1.948093e-05 2.236523e-05
